neration is : 16923 and best solution fitness is : 7230.671717528061
 current generation is : 16924 and best solution fitness is : 7230.671717528061
 current generation is : 16925 and best solution fitness is : 7230.671717528061
 current generation is : 16926 and best solution fitness is : 7230.671717528061
 current generation is : 16927 and best solution fitness is : 7230.671717528061
 current generation is : 16928 and best solution fitness is : 7230.671717528061
 current generation is : 16929 and best solution fitness is : 7228.763030878084
 current generation is : 16930 and best solution fitness is : 7228.763030878084
 current generation is : 16931 and best solution fitness is : 7228.763030878084
 current generation is : 16932 and best solution fitness is : 7228.763030878084
 current generation is : 16933 and best solution fitness is : 7228.763030878084
 current generation is : 16934 and best solution fitness is : 7228.763030878084
 current generation is : 16935 and best solution fitness is : 7228.763030878084
 current generation is : 16936 and best solution fitness is : 7228.763030878084
 current generation is : 16937 and best solution fitness is : 7228.763030878084
 current generation is : 16938 and best solution fitness is : 7228.763030878084
 current generation is : 16939 and best solution fitness is : 7228.763030878084
 current generation is : 16940 and best solution fitness is : 7228.763030878084
 current generation is : 16941 and best solution fitness is : 7228.763030878084
 current generation is : 16942 and best solution fitness is : 7228.763030878084
 current generation is : 16943 and best solution fitness is : 7228.763030878084
 current generation is : 16944 and best solution fitness is : 7228.763030878084
 current generation is : 16945 and best solution fitness is : 7228.763030878084
 current generation is : 16946 and best solution fitness is : 7228.763030878084
 current generation is : 16947 and best solution fitness is : 7228.763030878084
 current generation is : 16948 and best solution fitness is : 7228.763030878084
 current generation is : 16949 and best solution fitness is : 7228.763030878084
 current generation is : 16950 and best solution fitness is : 7228.763030878084
 current generation is : 16951 and best solution fitness is : 7228.763030878084
 current generation is : 16952 and best solution fitness is : 7228.763030878084
 current generation is : 16953 and best solution fitness is : 7228.763030878084
 current generation is : 16954 and best solution fitness is : 7228.763030878084
 current generation is : 16955 and best solution fitness is : 7228.763030878084
 current generation is : 16956 and best solution fitness is : 7228.763030878084
 current generation is : 16957 and best solution fitness is : 7228.763030878084
 current generation is : 16958 and best solution fitness is : 7228.763030878084
